rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
159,1988,2h 12m,18,8.2,(950K),72,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles., Die Hard
160,2004,1h 59m,U,8.2,(453K),82,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.", Howl's Moving Castle
161,2005,2h 12m,15,8.2,(1.2M),62,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.", V for Vendetta
162,1997,2h 18m,18,8.2,(621K),91,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.", L
163,1995,2h 58m,18,8.2,(567K),73,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.", Casino
164,2004,2h 36m,15,8.2,(377K),82,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.", Downfall
165,1992,2h 10m,15,8.2,(438K),85,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""", Unforgiven
166,2006,1h 58m,15,8.2,(705K),98,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.", Pan's Labyrinth
167,1939,3h 58m,PG,8.2,(336K),97,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods., Gone with the Wind
168,1989,2h 7m,PG,8.2,(815K),65,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.", Indiana Jones and the Last Crusade
169,1959,2h 1m,A,8.2,(285K),98,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.", Some Like It Hot
170,2018,1h 44m,18,8.2,(60K),,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born., Tumbbad
171,1975,1h 31m,12A,8.2,(572K),91,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.", Monty Python and the Holy Grail
172,2020,1h 37m,12A,8.2,(195K),88,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.", The Father
173,1963,2h 52m,PG,8.2,(260K),86,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II., The Great Escape
174,2009,2h 9m,18,8.2,(223K),80,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later., The Secret in Their Eyes
175,1980,2h 4m,PG,8.2,(259K),78,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.", The Elephant Man
176,1985,2h 40m,15,8.2,(137K),97,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.", Ran
177,1965,2h 12m,15,8.2,(276K),74,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.", For a Few Dollars More
178,1954,1h 45m,PG,8.2,(190K),75,A former tennis star arranges the murder of his adulterous wife., Dial M for Murder
179,2020,1h 57m,15,8.2,(74K),72,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.", Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train
180,1950,2h 18m,PG,8.2,(139K),98,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends., All About Eve
181,1950,1h 28m,X,8.2,(181K),98,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.", Rashomon
182,2019,1h 36m,PG,8.2,(191K),65,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.", Klaus
183,2012,5h 21m,18,8.2,(104K),89,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.", Gangs of Wasseypur
184,1961,1h 50m,PG,8.2,(132K),93,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town., Yojimbo
185,2015,2h 43m,12A,8.2,(95K),,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.", Drishyam
186,1997,1h 29m,PG,8.2,(81K),77,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.", Children of Heaven
187,2018,2h 19m,12A,8.2,(103K),,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.", Andhadhun
188,2019,2h 12m,15,8.2,(56K),,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013)., Miracle in Cell No
189,1948,2h 6m,PG,8.2,(133K),98,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains., The Treasure of the Sierra Madre
190,1921,1h 8m,U,8.2,(135K),,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.", The Kid
191,1969,2h 7m,A,8.2,(31K),86,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it., Z
192,2022,2h 20m,15,8.2,(45K),,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?, Drishyam 2
193,2017,2h 5m,15,8.2,(44K),,"Sergeant Süleyman finds a little girl on a battlefield during the Korean War. He takes her and names her Ayla. Fifteen months later, Süleyman's brigade is told they will be returning to Turkey, and he is reluctant to leave her behind.", Ayla
194,1924,45m,U,8.2,(58K),,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.", Sherlock Jr
195,2018,2h 34m,15,8.2,(99K),,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the Kolar Gold Fields.", K
196,2011,2h 35m,PG,8.2,(87K),,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged., Zindagi Na Milegi Dobara
197,2005,1h 52m,PG,8.2,(93K),,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980., My Father and My Son
198,1955,2h 5m,U,8.2,(39K),,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.", Pather Panchali
199,2019,2h 18m,15,8.2,(73K),,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.", Uri: The Surgical Strike
200,2017,2h 47m,15,8.2,(115K),,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.", Baahubali 2: The Conclusion
201,2013,3h 6m,12A,8.2,(73K),,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.", Bhaag Milkha Bhaag
202,1975,2h 22m,U,8.2,(34K),,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter., Dersu Uzala
203,2022,2h 28m,15,8.2,(103K),,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.", Kantara
204,2004,3h 30m,U,8.2,(99K),,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.," Swades: We, the People"
205,1953,1h 36m,PG,8.2,(26K),,"A tale of ambition, family, love, and war set in the midst of the Japanese Civil Wars of the sixteenth century.", Ugetsu
206,1952,1h 29m,PG,8.2,(28K),92,An elderly man and his dog struggle to survive on his government pension in Rome., Umberto D
207,2000,2h 36m,15,8.2,(73K),,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?", Hera Pheri
208,2017,2h 27m,12A,8.2,(51K),,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.", Vikram Vedha
209,2018,2h 50m,12A,8.2,(28K),,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime., Rangasthalam
210,2012,2h 15m,12A,8.2,(38K),,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.", Paan Singh Tomar
211,2015,1h 35m,U,8.1,(795K),94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.", Inside Out
212,2015,2h,15,8.1,(1.1M),90,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.", Mad Max: Fury Road
213,1974,2h 10m,X,8.1,(352K),92,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.", Chinatown
214,2019,2h 32m,12A,8.1,(482K),81,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966., Le Mans '66
